##Databases: KEGG PATHWAY, Reactome
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Signaling by the B Cell Receptor (BCR)	Reactome	R-HSA-983705	2	110	0.304026037274	0.419004722759	PSME4|BCAP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-983705
MAPK family signaling cascades	Reactome	R-HSA-5683057	4	278	0.305198602492	0.420025799469	TIE2|MET|PSME4|AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5683057
Calmodulin induced events	Reactome	R-HSA-111933	1	36	0.307827066327	0.420078170457	PKR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111933
Pausing and recovery of HIV elongation	Reactome	R-HSA-167290	1	36	0.307827066327	0.420078170457	CCNT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167290
CaM pathway	Reactome	R-HSA-111997	1	36	0.307827066327	0.420078170457	PKR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111997
HIV elongation arrest and recovery	Reactome	R-HSA-167287	1	36	0.307827066327	0.420078170457	CCNT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167287
Striated Muscle Contraction	Reactome	R-HSA-390522	1	36	0.307827066327	0.420078170457	ACTC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-390522
Regulation of TP53 Expression and Degradation	Reactome	R-HSA-6806003	1	36	0.307827066327	0.420078170457	DAXX	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6806003
Mitotic Anaphase	Reactome	R-HSA-68882	3	194	0.309226915618	0.420808096359	PSME4|CENPI|BUB1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68882
Cellular Senescence	Reactome	R-HSA-2559583	3	194	0.309226915618	0.420808096359	TIP|H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2559583
Hedgehog 'off' state	Reactome	R-HSA-5610787	2	112	0.311302967021	0.422786495052	PSME4|PKR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5610787
Signaling by Receptor Tyrosine Kinases	Reactome	R-HSA-9006934	6	458	0.311549760485	0.422786495052	LAMA|MET|VEGFD|ESRP1|LAMA3|LAMC1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006934
Thyroid cancer	KEGG PATHWAY	hsa05216	1	37	0.314679052235	0.42584522646	TFG	http://www.genome.jp/kegg-bin/show_pathway?hsa05216/hsa:10342%09red
Metalloprotease DUBs	Reactome	R-HSA-5689901	1	37	0.314679052235	0.42584522646	H2A	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5689901
DNA Damage Recognition in GG-NER	Reactome	R-HSA-5696394	1	38	0.321463380018	0.432619458862	NFRKB	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5696394
Molecules associated with elastic fibres	Reactome	R-HSA-2129379	1	38	0.321463380018	0.432619458862	LTBP4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2129379
Ca-dependent events	Reactome	R-HSA-111996	1	38	0.321463380018	0.432619458862	PKR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-111996
Ovarian tumor domain proteases	Reactome	R-HSA-5689896	1	38	0.321463380018	0.432619458862	TRAF3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5689896
Viral carcinogenesis	KEGG PATHWAY	hsa05203	3	201	0.328102653114	0.439229486548	TRAF3|SRF|H2B	http://www.genome.jp/kegg-bin/show_pathway?hsa05203/hsa:8349%09red/hsa:7187%09red/hsa:6722%09red
Epstein-Barr virus infection	KEGG PATHWAY	hsa05169	3	201	0.328102653114	0.439229486548	CYC|TRAF3|TBK1	http://www.genome.jp/kegg-bin/show_pathway?hsa05169/hsa:29110%09red/hsa:54205%09red/hsa:7187%09red
Carboxyterminal post-translational modifications of tubulin	Reactome	R-HSA-8955332	1	39	0.328180716054	0.439229486548	TTL	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8955332
Formation of Fibrin Clot (Clotting Cascade)	Reactome	R-HSA-140877	1	39	0.328180716054	0.439229486548	TFPI1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-140877
Transcriptional regulation by RUNX2	Reactome	R-HSA-8878166	2	118	0.333028651367	0.445105601347	PSME4|PPM1D	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8878166
Activation of gene expression by SREBF (SREBP)	Reactome	R-HSA-2426168	1	40	0.334831720178	0.445678883356	NCOA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2426168
Synthesis of PA	Reactome	R-HSA-1483166	1	40	0.334831720178	0.445678883356	MIGA2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1483166
Beta defensins	Reactome	R-HSA-1461957	1	40	0.334831720178	0.445678883356	TLR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1461957
Thyroid hormone signaling pathway	KEGG PATHWAY	hsa04919	2	119	0.336631511308	0.447462377736	NCOA1|MED13	http://www.genome.jp/kegg-bin/show_pathway?hsa04919/hsa:8648%09red/hsa:9969%09red
Metabolism of water-soluble vitamins and cofactors	Reactome	R-HSA-196849	2	120	0.340228539719	0.451626697335	COASY|GSTO1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-196849
Dual Incision in GG-NER	Reactome	R-HSA-5696400	1	41	0.341417045742	0.451971136744	CHD1L	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5696400
Sphingolipid de novo biosynthesis	Reactome	R-HSA-1660661	1	41	0.341417045742	0.451971136744	PLPP3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1660661
Yersinia infection	KEGG PATHWAY	hsa05135	2	121	0.343819499848	0.453301318905	TLR4|TBK1	http://www.genome.jp/kegg-bin/show_pathway?hsa05135/hsa:29110%09red/hsa:7099%09red
Activation of HOX genes during differentiation	Reactome	R-HSA-5619507	2	121	0.343819499848	0.453301318905	H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5619507
Activation of anterior HOX genes in hindbrain development during early embryogenesis	Reactome	R-HSA-5617472	2	121	0.343819499848	0.453301318905	H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5617472
Tryptophan metabolism	KEGG PATHWAY	hsa00380	1	42	0.347937339677	0.45625745486	DDC	http://www.genome.jp/kegg-bin/show_pathway?hsa00380/hsa:1644%09red
Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	Reactome	R-HSA-381676	1	42	0.347937339677	0.45625745486	PKR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-381676
SUMOylation of DNA replication proteins	Reactome	R-HSA-4615885	1	42	0.347937339677	0.45625745486	TOP1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4615885
DAG and IP3 signaling	Reactome	R-HSA-1489509	1	42	0.347937339677	0.45625745486	PKR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1489509
Resolution of Sister Chromatid Cohesion	Reactome	R-HSA-2500257	2	123	0.350982294318	0.459013134908	CENPI|BUB1B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2500257
Host Interactions of HIV factors	Reactome	R-HSA-162909	2	123	0.350982294318	0.459013134908	RCC1|PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162909
Vasopressin regulates renal water homeostasis via Aquaporins	Reactome	R-HSA-432040	1	43	0.35439324256	0.461204186621	PKR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-432040
Formation of Incision Complex in GG-NER	Reactome	R-HSA-5696395	1	43	0.35439324256	0.461204186621	CHD1L	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5696395
Oxidative Stress Induced Senescence	Reactome	R-HSA-2559580	2	124	0.354553680979	0.461204186621	H2A|H2B	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2559580
Phospholipid metabolism	Reactome	R-HSA-1483257	3	212	0.357731662798	0.46471683298	ENPP6|MIGA2|PLB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1483257
Vasopressin-regulated water reabsorption	KEGG PATHWAY	hsa04962	1	44	0.360785388673	0.467435663354	DCTN1	http://www.genome.jp/kegg-bin/show_pathway?hsa04962/hsa:1639%09red
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	Reactome	R-HSA-2173793	1	44	0.360785388673	0.467435663354	CCNT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2173793
ABC transporters	KEGG PATHWAY	hsa02010	1	45	0.367114406067	0.473743126132	ABCA3	http://www.genome.jp/kegg-bin/show_pathway?hsa02010/hsa:21%09red
Proteasome	KEGG PATHWAY	hsa03050	1	45	0.367114406067	0.473743126132	PSME4	http://www.genome.jp/kegg-bin/show_pathway?hsa03050/hsa:23198%09red
Elastic fibre formation	Reactome	R-HSA-1566948	1	45	0.367114406067	0.473743126132	LTBP4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1566948
Herpes simplex virus 1 infection	KEGG PATHWAY	hsa05168	6	492	0.37075650306	0.477809374143	DAXX|TRAF3|TBK1|BIRC3|CYC|ZFP37	http://www.genome.jp/kegg-bin/show_pathway?hsa05168/hsa:29110%09red/hsa:54205%09red/hsa:7539%09red/hsa:1616%09red/hsa:330%09red/hsa:7187%09red
Glycerophospholipid biosynthesis	Reactome	R-HSA-1483206	2	129	0.372302001522	0.479166464922	MIGA2|PLB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1483206
Recycling pathway of L1	Reactome	R-HSA-437239	1	46	0.373380916621	0.479920253464	L1CAM	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-437239
Dopaminergic synapse	KEGG PATHWAY	hsa04728	2	131	0.379346897646	0.486609653002	DDC|DRD1	http://www.genome.jp/kegg-bin/show_pathway?hsa04728/hsa:1812%09red/hsa:1644%09red
FoxO signaling pathway	KEGG PATHWAY	hsa04068	2	132	0.382856920651	0.490157610255	FBX25|G6PC2	http://www.genome.jp/kegg-bin/show_pathway?hsa04068/hsa:57818%09red/hsa:26260%09red
Valine, leucine and isoleucine degradation	KEGG PATHWAY	hsa00280	1	48	0.385728874232	0.49253831316	ACAD8	http://www.genome.jp/kegg-bin/show_pathway?hsa00280/hsa:27034%09red
Formation of HIV elongation complex in the absence of HIV Tat	Reactome	R-HSA-167152	1	48	0.385728874232	0.49253831316	CCNT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167152
Systemic lupus erythematosus	KEGG PATHWAY	hsa05322	2	133	0.386358420081	0.492695599919	H2A|H2B	http://www.genome.jp/kegg-bin/show_pathway?hsa05322/hsa:8338%09red/hsa:8349%09red
Cysteine and methionine metabolism	KEGG PATHWAY	hsa00270	1	49	0.391811534734	0.495107302983	SERA	http://www.genome.jp/kegg-bin/show_pathway?hsa00270/hsa:26227%09red
Ovarian steroidogenesis	KEGG PATHWAY	hsa04913	1	49	0.391811534734	0.495107302983	LDLR	http://www.genome.jp/kegg-bin/show_pathway?hsa04913/hsa:3949%09red
Netrin-1 signaling	Reactome	R-HSA-373752	1	49	0.391811534734	0.495107302983	SLIT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-373752
Cross-presentation of soluble exogenous antigens (endosomes)	Reactome	R-HSA-1236978	1	49	0.391811534734	0.495107302983	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236978
XBP1(S) activates chaperone genes	Reactome	R-HSA-381038	1	49	0.391811534734	0.495107302983	DCTN1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-381038
Retrograde transport at the Trans-Golgi-Network	Reactome	R-HSA-6811440	1	49	0.391811534734	0.495107302983	COG3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6811440
Regulation of activated PAK-2p34 by proteasome mediated degradation	Reactome	R-HSA-211733	1	49	0.391811534734	0.495107302983	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-211733
Cell surface interactions at the vascular wall	Reactome	R-HSA-202733	2	135	0.393335153625	0.49638794355	TIE2|L1CAM	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-202733
Endocrine and other factor-regulated calcium reabsorption	KEGG PATHWAY	hsa04961	1	50	0.397834115404	0.49947431521	TRPV5	http://www.genome.jp/kegg-bin/show_pathway?hsa04961/hsa:56302%09red
Defensins	Reactome	R-HSA-1461973	1	50	0.397834115404	0.49947431521	TLR1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1461973
Regulation of ornithine decarboxylase (ODC)	Reactome	R-HSA-350562	1	50	0.397834115404	0.49947431521	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-350562
Intrinsic Pathway for Apoptosis	Reactome	R-HSA-109606	1	50	0.397834115404	0.49947431521	CYC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-109606
Rho GTPase cycle	Reactome	R-HSA-194840	2	138	0.403732096636	0.50050278158	OBSCN|HMHA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-194840
Interleukin-1 family signaling	Reactome	R-HSA-446652	2	138	0.403732096636	0.50050278158	PSME4|TBK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-446652
Ubiquitin-dependent degradation of Cyclin D	Reactome	R-HSA-75815	1	51	0.40379720816	0.50050278158	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75815
p53-Independent DNA Damage Response	Reactome	R-HSA-69610	1	51	0.40379720816	0.50050278158	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69610
Ubiquitin Mediated Degradation of Phosphorylated Cdc25A	Reactome	R-HSA-69601	1	51	0.40379720816	0.50050278158	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69601
Vpu mediated degradation of CD4	Reactome	R-HSA-180534	1	51	0.40379720816	0.50050278158	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-180534
p53-Independent G1/S DNA damage checkpoint	Reactome	R-HSA-69613	1	51	0.40379720816	0.50050278158	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69613
COPI-independent Golgi-to-ER retrograde traffic	Reactome	R-HSA-6811436	1	51	0.40379720816	0.50050278158	DCTN1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6811436
IRE1alpha activates chaperones	Reactome	R-HSA-381070	1	51	0.40379720816	0.50050278158	DCTN1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-381070
Autodegradation of the E3 ubiquitin ligase COP1	Reactome	R-HSA-349425	1	51	0.40379720816	0.50050278158	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-349425
Regulation of Apoptosis	Reactome	R-HSA-169911	1	52	0.409701399106	0.505246465564	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-169911
Vif-mediated degradation of APOBEC3G	Reactome	R-HSA-180585	1	52	0.409701399106	0.505246465564	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-180585
Signaling by PTK6	Reactome	R-HSA-8848021	1	52	0.409701399106	0.505246465564	HLF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8848021
Signaling by Non-Receptor Tyrosine Kinases	Reactome	R-HSA-9006927	1	52	0.409701399106	0.505246465564	HLF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006927
Mineral absorption	KEGG PATHWAY	hsa04978	1	53	0.415547268584	0.511159914453	TRPV6	http://www.genome.jp/kegg-bin/show_pathway?hsa04978/hsa:55503%09red
Regulation of cholesterol biosynthesis by SREBP (SREBF)	Reactome	R-HSA-1655829	1	53	0.415547268584	0.511159914453	NCOA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1655829
RAF/MAP kinase cascade	Reactome	R-HSA-5673001	3	234	0.416290776189	0.511427935899	TIE2|MET|PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5673001
PLC beta mediated events	Reactome	R-HSA-112043	1	54	0.421335391234	0.513733503346	PKR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112043
Golgi Associated Vesicle Biogenesis	Reactome	R-HSA-432722	1	54	0.421335391234	0.513733503346	AP4B1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-432722
Degradation of AXIN	Reactome	R-HSA-4641257	1	54	0.421335391234	0.513733503346	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4641257
Intraflagellar transport	Reactome	R-HSA-5620924	1	54	0.421335391234	0.513733503346	IFT80	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5620924
AUF1 (hnRNP D0) binds and destabilizes mRNA	Reactome	R-HSA-450408	1	54	0.421335391234	0.513733503346	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450408
Formation of TC-NER Pre-Incision Complex	Reactome	R-HSA-6781823	1	54	0.421335391234	0.513733503346	AQR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6781823
Pathogenic Escherichia coli infection	KEGG PATHWAY	hsa05130	1	55	0.427066336047	0.516193223569	TLR4	http://www.genome.jp/kegg-bin/show_pathway?hsa05130/hsa:7099%09red
Regulation of lipolysis in adipocytes	KEGG PATHWAY	hsa04923	1	55	0.427066336047	0.516193223569	ADRB1	http://www.genome.jp/kegg-bin/show_pathway?hsa04923/hsa:153%09red
G-protein mediated events	Reactome	R-HSA-112040	1	55	0.427066336047	0.516193223569	PKR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112040
Complex I biogenesis	Reactome	R-HSA-6799198	1	55	0.427066336047	0.516193223569	ECSIT	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6799198
HSP90 chaperone cycle for steroid hormone receptors (SHR)	Reactome	R-HSA-3371497	1	55	0.427066336047	0.516193223569	DCTN1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3371497
Stabilization of p53	Reactome	R-HSA-69541	1	55	0.427066336047	0.516193223569	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69541
Hh mutants that don't undergo autocatalytic processing are degraded by ERAD	Reactome	R-HSA-5362768	1	55	0.427066336047	0.516193223569	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5362768
MAPK1/MAPK3 signaling	Reactome	R-HSA-5684996	3	239	0.429379862048	0.51834566473	TIE2|MET|PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5684996
Neurexins and neuroligins	Reactome	R-HSA-6794361	1	56	0.432740666422	0.521109738155	SYT9	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6794361
Degradation of DVL	Reactome	R-HSA-4641258	1	56	0.432740666422	0.521109738155	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4641258
Metabolism of steroids	Reactome	R-HSA-8957322	2	147	0.434394082443	0.522454193099	NCOA1|NTCP2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8957322
Signaling by Hedgehog	Reactome	R-HSA-5358351	2	148	0.437749035633	0.525274936991	PSME4|PKR2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5358351
Pyrimidine metabolism	KEGG PATHWAY	hsa00240	1	57	0.438358940223	0.525274936991	UMPS	http://www.genome.jp/kegg-bin/show_pathway?hsa00240/hsa:7372%09red
Metabolism of polyamines	Reactome	R-HSA-351202	1	57	0.438358940223	0.525274936991	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-351202
Gastric cancer	KEGG PATHWAY	hsa05226	2	149	0.441093146296	0.527252618361	MET|LRP6	http://www.genome.jp/kegg-bin/show_pathway?hsa05226/hsa:4040%09red/hsa:4233%09red
Adrenergic signaling in cardiomyocytes	KEGG PATHWAY	hsa04261	2	149	0.441093146296	0.527252618361	ADRB1|ACTC	http://www.genome.jp/kegg-bin/show_pathway?hsa04261/hsa:153%09red/hsa:70%09red
Hh mutants abrogate ligand secretion	Reactome	R-HSA-5387390	1	58	0.443921709828	0.528685218682	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5387390
CDT1 association with the CDC6:ORC:origin complex	Reactome	R-HSA-68827	1	58	0.443921709828	0.528685218682	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68827
NIK-->noncanonical NF-kB signaling	Reactome	R-HSA-5676590	1	58	0.443921709828	0.528685218682	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5676590
GLI3 is processed to GLI3R by the proteasome	Reactome	R-HSA-5610785	1	59	0.449429522188	0.530697724622	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5610785
Dectin-1 mediated noncanonical NF-kB signaling	Reactome	R-HSA-5607761	1	59	0.449429522188	0.530697724622	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5607761
Kinesins	Reactome	R-HSA-983189	1	59	0.449429522188	0.530697724622	KIF27	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-983189
Peroxisomal protein import	Reactome	R-HSA-9033241	1	59	0.449429522188	0.530697724622	PEX13	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9033241
Degradation of GLI1 by the proteasome	Reactome	R-HSA-5610780	1	59	0.449429522188	0.530697724622	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5610780
Degradation of GLI2 by the proteasome	Reactome	R-HSA-5610783	1	59	0.449429522188	0.530697724622	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5610783
NRAGE signals death through JNK	Reactome	R-HSA-193648	1	59	0.449429522188	0.530697724622	OBSCN	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-193648
Steroid hormone biosynthesis	KEGG PATHWAY	hsa00140	1	60	0.454882918875	0.535836658675	ST1E1	http://www.genome.jp/kegg-bin/show_pathway?hsa00140/hsa:6783%09red
Defective CFTR causes cystic fibrosis	Reactome	R-HSA-5678895	1	60	0.454882918875	0.535836658675	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5678895
Hippo signaling pathway	KEGG PATHWAY	hsa04390	2	154	0.457647187896	0.538441008251	SNAI2|LATS1	http://www.genome.jp/kegg-bin/show_pathway?hsa04390/hsa:6591%09red/hsa:9113%09red
Glycerolipid metabolism	KEGG PATHWAY	hsa00561	1	61	0.460282436141	0.53893478985	PLPP3	http://www.genome.jp/kegg-bin/show_pathway?hsa00561/hsa:8613%09red
Ca2+ pathway	Reactome	R-HSA-4086398	1	61	0.460282436141	0.53893478985	AGO2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4086398
RNA Polymerase II Transcription Elongation	Reactome	R-HSA-75955	1	61	0.460282436141	0.53893478985	CCNT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-75955
Formation of RNA Pol II elongation complex 	Reactome	R-HSA-112382	1	61	0.460282436141	0.53893478985	CCNT2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-112382
FLT3 Signaling	Reactome	R-HSA-9607240	3	252	0.462891134555	0.541337829233	TIE2|MET|PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9607240
Protein localization	Reactome	R-HSA-9609507	2	156	0.464189167641	0.5422041538	COX19|PEX13	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9609507
Longevity regulating pathway - multiple species	KEGG PATHWAY	hsa04213	1	62	0.465628604965	0.543233372459	ALS	http://www.genome.jp/kegg-bin/show_pathway?hsa04213/hsa:6647%09red
Asymmetric localization of PCP proteins	Reactome	R-HSA-4608870	1	63	0.470921951106	0.548750968175	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4608870
p53-Dependent G1/S DNA damage checkpoint	Reactome	R-HSA-69580	1	64	0.476162995157	0.550899636489	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69580
Semaphorin interactions	Reactome	R-HSA-373755	1	64	0.476162995157	0.550899636489	MET	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-373755
Mitochondrial protein import	Reactome	R-HSA-1268020	1	64	0.476162995157	0.550899636489	COX19	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1268020
p53-Dependent G1 DNA Damage Response	Reactome	R-HSA-69563	1	64	0.476162995157	0.550899636489	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69563
Hedgehog ligand biogenesis	Reactome	R-HSA-5358346	1	64	0.476162995157	0.550899636489	PSME4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5358346
Collagen degradation	Reactome	R-HSA-1442490	1	64	0.476162995157	0.550899636489	MMP19	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1442490
Mitophagy - animal	KEGG PATHWAY	hsa04137	1	65	0.48135225259	0.554267150024	TBK1	http://www.genome.jp/kegg-bin/show_pathway?hsa04137/hsa:29110%09red
Gap-filling DNA repair synthesis and ligation in TC-NER	Reactome	R-HSA-6782210	1	65	0.48135225259	0.554267150024	AQR	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6782210
FOXO-mediated transcription	Reactome	R-HSA-9614085	1	65	0.48135225259	0.554267150024	ATX3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9614085
RAB geranylgeranylation	Reactome	R-HSA-8873719	1	65	0.48135225259	0.554267150024	RAB23	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8873719
Acute myeloid leukemia	KEGG PATHWAY	hsa05221	1	66	0.486490233813	0.555580982981	SPI1	http://www.genome.jp/kegg-bin/show_pathway?hsa05221/hsa:6688%09red
